Month,heisenbones: (United States)
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,21
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,49
2009-07,0
2009-08,0
2009-09,25
2009-10,0
2009-11,10
2009-12,0
2010-01,0
2010-02,29
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,10
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,9
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,10
2012-10,0
2012-11,0
2012-12,6
2013-01,0
2013-02,14
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,15
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,4
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,8
2015-10,0
2015-11,0
2015-12,5
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,10
2016-06,0
2016-07,0
2016-08,0
2016-09,5
2016-10,3
2016-11,0
2016-12,4
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,3
2018-09,3
2018-10,6
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,2
2020-03,3
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,0
2020-09,12
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,4
2022-01,0
2022-02,0
2022-03,0
2022-04,0
2022-05,2
2022-06,3
2022-07,0
2022-08,0
2022-09,35
2022-10,100
2022-11,29
2022-12,16
2023-01,15
2023-02,26
2023-03,3
2023-04,7
2023-05,9
2023-06,0
2023-07,4
2023-08,5
2023-09,4
2023-10,0
